-9.63050,-10.04738,-10.50188,-10.99934,-11.54613,-12.14993,-12.82012,-13.56824,-14.40865,-15.35946,-16.44380,-17.69172,-19.14291,-20.85089,-22.88955,-25.36361,-28.42623,-32.30986,-37.38272,-44.25811,-54.01485,-68.63895,-91.65170,-125.86618,-149.93918,-125.86618,-91.65170,-68.63895,-54.01485,-44.25811,-37.38272,-32.30986,-28.42623,-25.36361,-22.88955,-20.85089,-19.14291,-17.69172,-16.44380,-15.35946,-14.40865,-13.56824,-12.82012,-12.14993,-11.54613,-10.99934,-10.50188,-10.04738,-9.63050
-9.55526,-9.96888,-10.41984,-10.91341,-11.45592,-12.05500,-12.71996,-13.46223,-14.29608,-15.23946,-16.31533,-17.55350,-18.99335,-20.68800,-22.71073,-25.16545,-28.20415,-32.05743,-37.09067,-43.91234,-53.59286,-68.10271,-90.93567,-124.88285,-148.76778,-124.88285,-90.93567,-68.10271,-53.59286,-43.91234,-37.09067,-32.05743,-28.20415,-25.16545,-22.71073,-20.68800,-18.99335,-17.55350,-16.31533,-15.23946,-14.29608,-13.46223,-12.71996,-12.05500,-11.45592,-10.91341,-10.41984,-9.96888,-9.55526
-9.48002,-9.89039,-10.33779,-10.82748,-11.36572,-11.96008,-12.61980,-13.35623,-14.18351,-15.11946,-16.18686,-17.41528,-18.84380,-20.52510,-22.53190,-24.96730,-27.98207,-31.80501,-36.79861,-43.56657,-53.17087,-67.56646,-90.21964,-123.89952,-147.59638,-123.89952,-90.21964,-67.56646,-53.17087,-43.56657,-36.79861,-31.80501,-27.98207,-24.96730,-22.53190,-20.52510,-18.84380,-17.41528,-16.18686,-15.11946,-14.18351,-13.35623,-12.61980,-11.96008,-11.36572,-10.82748,-10.33779,-9.89039,-9.48002
-9.40479,-9.81189,-10.25575,-10.74155,-11.27551,-11.86516,-12.51964,-13.25023,-14.07094,-14.99947,-16.05840,-17.27707,-18.69424,-20.36220,-22.35308,-24.76915,-27.75999,-31.55259,-36.50656,-43.22081,-52.74888,-67.03022,-89.50362,-122.91619,-146.42498,-122.91619,-89.50362,-67.03022,-52.74888,-43.22081,-36.50656,-31.55259,-27.75999,-24.76915,-22.35308,-20.36220,-18.69424,-17.27707,-16.05840,-14.99947,-14.07094,-13.25023,-12.51964,-11.86516,-11.27551,-10.74155,-10.25575,-9.81189,-9.40479
-9.32955,-9.73340,-10.17370,-10.65561,-11.18531,-11.77024,-12.41949,-13.14423,-13.95838,-14.87947,-15.92993,-17.13885,-18.54469,-20.19930,-22.17425,-24.57099,-27.53791,-31.30017,-36.21451,-42.87504,-52.32689,-66.49398,-88.78759,-121.93286,-145.25358,-121.93286,-88.78759,-66.49398,-52.32689,-42.87504,-36.21451,-31.30017,-27.53791,-24.57099,-22.17425,-20.19930,-18.54469,-17.13885,-15.92993,-14.87947,-13.95838,-13.14423,-12.41949,-11.77024,-11.18531,-10.65561,-10.17370,-9.73340,-9.32955
-9.25431,-9.65490,-10.09165,-10.56968,-11.09511,-11.67532,-12.31933,-13.03823,-13.84581,-14.75948,-15.80146,-17.00063,-18.39514,-20.03641,-21.99543,-24.37284,-27.31583,-31.04775,-35.92246,-42.52927,-51.90490,-65.95774,-88.07156,-120.94953,-144.08218,-120.94953,-88.07156,-65.95774,-51.90490,-42.52927,-35.92246,-31.04775,-27.31583,-24.37284,-21.99543,-20.03641,-18.39514,-17.00063,-15.80146,-14.75948,-13.84581,-13.03823,-12.31933,-11.67532,-11.09511,-10.56968,-10.09165,-9.65490,-9.25431
-9.17907,-9.57641,-10.00961,-10.48375,-11.00490,-11.58040,-12.21917,-12.93222,-13.73324,-14.63948,-15.67300,-16.86242,-18.24558,-19.87351,-21.81660,-24.17469,-27.09375,-30.79533,-35.63040,-42.18351,-51.48290,-65.42150,-87.35553,-119.96621,-142.91078,-119.96621,-87.35553,-65.42150,-51.48290,-42.18351,-35.63040,-30.79533,-27.09375,-24.17469,-21.81660,-19.87351,-18.24558,-16.86242,-15.67300,-14.63948,-13.73324,-12.93222,-12.21917,-11.58040,-11.00490,-10.48375,-10.00961,-9.57641,-9.17907
-9.10383,-9.49791,-9.92756,-10.39782,-10.91470,-11.48548,-12.11902,-12.82622,-13.62067,-14.51949,-15.54453,-16.72420,-18.09603,-19.71061,-21.63778,-23.97653,-26.87167,-30.54291,-35.33835,-41.83774,-51.06091,-64.88526,-86.63950,-118.98288,-141.73938,-118.98288,-86.63950,-64.88526,-51.06091,-41.83774,-35.33835,-30.54291,-26.87167,-23.97653,-21.63778,-19.71061,-18.09603,-16.72420,-15.54453,-14.51949,-13.62067,-12.82622,-12.11902,-11.48548,-10.91470,-10.39782,-9.92756,-9.49791,-9.10383
-9.02859,-9.41942,-9.84552,-10.31188,-10.82449,-11.39056,-12.01886,-12.72022,-13.50811,-14.39949,-15.41606,-16.58598,-17.94647,-19.54771,-21.45896,-23.77838,-26.64959,-30.29049,-35.04630,-41.49197,-50.63892,-64.34901,-85.92347,-117.99955,-140.56798,-117.99955,-85.92347,-64.34901,-50.63892,-41.49197,-35.04630,-30.29049,-26.64959,-23.77838,-21.45896,-19.54771,-17.94647,-16.58598,-15.41606,-14.39949,-13.50811,-12.72022,-12.01886,-11.39056,-10.82449,-10.31188,-9.84552,-9.41942,-9.02859
-8.95336,-9.34092,-9.76347,-10.22595,-10.73429,-11.29563,-11.91870,-12.61422,-13.39554,-14.27949,-15.28759,-16.44777,-17.79692,-19.38482,-21.28013,-23.58023,-26.42751,-30.03807,-34.75425,-41.14621,-50.21693,-63.81277,-85.20744,-117.01622,-139.39658,-117.01622,-85.20744,-63.81277,-50.21693,-41.14621,-34.75425,-30.03807,-26.42751,-23.58023,-21.28013,-19.38482,-17.79692,-16.44777,-15.28759,-14.27949,-13.39554,-12.61422,-11.91870,-11.29563,-10.73429,-10.22595,-9.76347,-9.34092,-8.95336
-8.87812,-9.26243,-9.68142,-10.14002,-10.64408,-11.20071,-11.81854,-12.50822,-13.28297,-14.15950,-15.15913,-16.30955,-17.64737,-19.22192,-21.10131,-23.38207,-26.20543,-29.78565,-34.46219,-40.80044,-49.79494,-63.27653,-84.49141,-116.03289,-138.22518,-116.03289,-84.49141,-63.27653,-49.79494,-40.80044,-34.46219,-29.78565,-26.20543,-23.38207,-21.10131,-19.22192,-17.64737,-16.30955,-15.15913,-14.15950,-13.28297,-12.50822,-11.81854,-11.20071,-10.64408,-10.14002,-9.68142,-9.26243,-8.87812
